repo,project_key,project_name,discovered_via,source_name,system,type,url,notes
NR-2025-001-ptagis-recap-to-snowflake,NR-2025-001-ptagis-recap-to-snowflake,NR-2025-001-ptagis-recap-to-snowflake,data_assets,GEN_NR_ADMIN_PASSAGE_PTAGIS_RECAP_DAILY_2025.fmw,FME,Workbench,https://fme.tacoma.lcl/fmeserver/workspaces/run/A-TPU-PWR/GEN_NR_ADMIN_PASSAGE_PTAGIS_RECAP_DAILY_2025.fmw,
NR-2025-001-ptagis-recap-to-snowflake,NR-2025-001-ptagis-recap-to-snowflake,NR-2025-001-ptagis-recap-to-snowflake,data_assets,PTAGIS_RECAP_2025,PTAGIS,json,https://api.ptagis.org/reporting/reports/jankeny/file/TPU_RECAP_2025.csv,
NR-2025-001-ptagis-recap-to-snowflake,NR-2025-001-ptagis-recap-to-snowflake,NR-2025-001-ptagis-recap-to-snowflake,data_assets,PWR.FISH.ADMIN_PASSAGE_PTAGIS_RECAP,Snowflake,Database,https://app.snowflake.com/mjajtac/tacoma/#/data/databases/PWR/schemas/FISH/table/ADMIN_PASSAGE_PTAGIS_RECAP,
NR-2025-002-ptagis-tagging-to-snowflake,NR-2025-002-ptagis-tagging-to-snowflake,NR-2025-002-ptagis-tagging-to-snowflake,data_assets,GEN_NR_ADMIN_PASSAGE_PTAGIS_TAGGING_DAILY_2025.fmw,FME,Workbench,https://fme.tacoma.lcl/fmeserver/workspaces/run/A-TPU-PWR/GEN_NR_ADMIN_PASSAGE_PTAGIS_TAGGING_DAILY_2025.fmw,
NR-2025-002-ptagis-tagging-to-snowflake,NR-2025-002-ptagis-tagging-to-snowflake,NR-2025-002-ptagis-tagging-to-snowflake,data_assets,PTAGIS_TAGGING_2025,PTAGIS,json,https://api.ptagis.org/reporting/reports/jankeny/file/TPU_TAGGING_2025.csv,
NR-2025-002-ptagis-tagging-to-snowflake,NR-2025-002-ptagis-tagging-to-snowflake,NR-2025-002-ptagis-tagging-to-snowflake,data_assets,PWR.FISH.ADMIN_PASSAGE_PTAGIS_TAGGING,Snowflake,Database,https://app.snowflake.com/mjajtac/tacoma/#/data/databases/PWR/schemas/FISH/table/ADMIN_PASSAGE_PTAGIS_TAGGING,
NR-2025-003-testing-for-lindsay,NR-2025-003-testing-for-lindsay,NR-2025-003-testing-for-lindsay,data_assets,GIS_data,GIS,spatial,sagsdgsdg.com,
NR-2025-003-testing-for-lindsay,NR-2025-003-testing-for-lindsay,NR-2025-003-testing-for-lindsay,data_assets,Lindsay_Snowflake_Data,Snowflake,tabular,asdfasdfasdf.com,
NR-2025-004-short-title-cfff-fce-view,NR-2025-004-short-title-cfff-fce-view,NR-2025-004-short-title-cfff-fce-view,data_assets,PWR.FISH.ADMIN_PASSAGE_PTAGIS_RECAP,Snowflake,Database,https://app.snowflake.com/mjajtac/tacoma/#/data/databases/PWR/schemas/FISH/table/ADMIN_PASSAGE_PTAGIS_RECAP,
NR-2025-004-short-title-cfff-fce-view,NR-2025-004-short-title-cfff-fce-view,NR-2025-004-short-title-cfff-fce-view,data_assets,PWR.FISH.ADMIN_PASSAGE_PTAGIS_TAGGING,Snowflake,Database,https://app.snowflake.com/mjajtac/tacoma/#/data/databases/PWR/schemas/FISH/table/ADMIN_PASSAGE_PTAGIS_TAGGING,
NR-2025-004-short-title-cfff-fce-view,NR-2025-004-short-title-cfff-fce-view,NR-2025-004-short-title-cfff-fce-view,data_assets,PWR.FISH.V_COWLITZ_PASSAGE_CFD_FCE,Snowflake,Database,https://app.snowflake.com/mjajtac/tacoma/#/data/databases/PWR/schemas/FISH/view/V_COWLITZ_PASSAGE_CFD_FCE,
